x_coors 28
52000 54000 56000 59000 62000 65000 68000 71000 73000 75000 78000 80000 82000 84000 86000 88000 90000 92000 94000 96000 98000 100000 102000 104000 107000 110000 112000 114000
y_coors 15
410000 412000 414000 417000 420000 423000 426000 429000 431000 433000 436000 439000 442000 444000 446000
Net0 29
25 11 0
25 12 0
24 12 0
23 12 0
22 12 0
21 12 0
21 13 0
20 13 0
19 13 0
19 14 0
18 14 0
17 14 0
16 14 0
15 14 0
14 14 0
13 14 0
12 14 0
11 14 0
10 14 0
9 14 0
8 14 0
7 14 0
6 14 0
5 14 0
4 14 0
4 14 1
4 13 1
4 12 1
4 12 0
Net1 26
24 11 0
24 11 1
23 11 1
22 11 1
21 11 1
20 11 1
19 11 1
19 12 1
18 12 1
18 13 1
17 13 1
16 13 1
15 13 1
14 13 1
13 13 1
12 13 1
11 13 1
10 13 1
9 13 1
8 13 1
7 13 1
6 13 1
5 13 1
5 12 1
5 11 1
5 11 0
Net2 24
23 11 0
22 11 0
21 11 0
20 11 0
20 12 0
19 12 0
18 12 0
18 13 0
17 13 0
16 13 0
15 13 0
14 13 0
13 13 0
12 13 0
11 13 0
10 13 0
9 13 0
8 13 0
7 13 0
6 13 0
5 13 0
4 13 0
3 13 0
3 12 0
Net3 27
23 10 0
22 10 0
21 10 0
20 10 0
19 10 0
19 11 0
18 11 0
18 11 1
18 11 2
17 11 2
16 11 2
15 11 2
14 11 2
13 11 2
12 11 2
11 11 2
10 11 2
9 11 2
8 11 2
7 11 2
6 11 2
5 11 2
4 11 2
3 11 2
2 11 2
2 11 1
2 11 0
Net4 27
24 7 0
24 8 0
23 8 0
22 8 0
21 8 0
20 8 0
19 8 0
18 8 0
17 8 0
16 8 0
16 7 0
15 7 0
14 7 0
13 7 0
12 7 0
11 7 0
10 7 0
9 7 0
8 7 0
7 7 0
6 7 0
5 7 0
4 7 0
3 7 0
3 6 0
3 5 0
2 5 0
Net5 25
23 7 0
22 7 0
21 7 0
20 7 0
19 7 0
18 7 0
17 7 0
17 6 0
16 6 0
15 6 0
14 6 0
13 6 0
12 6 0
11 6 0
11 5 0
11 4 0
10 4 0
9 4 0
8 4 0
7 4 0
6 4 0
5 4 0
5 5 0
5 6 0
4 6 0
Net6 32
24 9 0
23 9 0
22 9 0
21 9 0
20 9 0
19 9 0
18 9 0
18 10 0
18 10 1
17 10 1
16 10 1
15 10 1
14 10 1
13 10 1
12 10 1
11 10 1
10 10 1
9 10 1
8 10 1
8 10 2
7 10 2
6 10 2
5 10 2
4 10 2
3 10 2
2 10 2
2 9 2
2 8 2
2 7 2
2 6 2
2 6 1
2 6 0
Net7 32
25 7 0
25 8 0
25 9 0
25 9 1
24 9 1
23 9 1
22 9 1
21 9 1
20 9 1
19 9 1
18 9 1
17 9 1
17 9 2
16 9 2
15 9 2
14 9 2
13 9 2
12 9 2
11 9 2
10 9 2
9 9 2
8 9 2
7 9 2
6 9 2
5 9 2
4 9 2
4 8 2
4 7 2
4 6 2
4 5 2
4 5 1
4 5 0
Net8 43
24 6 0
23 6 0
23 6 1
23 7 1
22 7 1
21 7 1
20 7 1
20 7 2
20 6 2
20 5 2
19 5 2
18 5 2
18 4 2
18 3 2
18 2 2
18 2 1
17 2 1
16 2 1
15 2 1
14 2 1
13 2 1
12 2 1
11 2 1
11 1 1
10 1 1
9 1 1
8 1 1
7 1 1
7 2 1
7 3 1
7 4 1
7 5 1
7 6 1
7 7 1
7 8 1
7 9 1
7 10 1
7 11 1
7 12 1
8 12 1
9 12 1
10 12 1
10 12 0
Net9 33
25 6 0
25 5 0
26 5 0
26 5 1
26 5 2
26 6 2
26 7 2
25 7 2
24 7 2
23 7 2
22 7 2
21 7 2
21 8 2
20 8 2
19 8 2
18 8 2
17 8 2
16 8 2
15 8 2
14 8 2
13 8 2
12 8 2
11 8 2
10 8 2
9 8 2
9 8 1
9 9 1
8 9 1
8 9 0
8 10 0
8 11 0
8 12 0
7 12 0
Net10 31
24 4 0
24 4 1
23 4 1
22 4 1
21 4 1
21 4 2
20 4 2
19 4 2
19 4 1
18 4 1
18 5 1
17 5 1
17 6 1
17 6 2
16 6 2
15 6 2
14 6 2
13 6 2
12 6 2
11 6 2
10 6 2
9 6 2
8 6 2
8 7 2
8 8 2
8 8 1
8 8 0
7 8 0
7 9 0
7 10 0
7 11 0
Net11 33
24 5 0
24 5 1
24 6 1
25 6 1
26 6 1
27 6 1
27 7 1
27 8 1
26 8 1
25 8 1
